Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,Low Fat,0.02,Dairy,249.81,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.14
DRC01,5.92,Regular,0.02,Soft Drinks,48.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.42
FDN15,17.5,Low Fat,0.02,Meat,141.62,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27
FDX07,19.2,Regular,0.00,Fruits and Vegetables,182.10,OUT010,1998,,Tier 3,Grocery Store,732.38
NCD19,8.93,Low Fat,0.00,Household,53.86,OUT013,1987,High,Tier 3,Supermarket Type1,994.71
FDP36,10.395,Regular,0.00,Baking Goods,51.40,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.61
FDO10,13.65,Regular,0.01,Snack Foods,57.66,OUT013,1987,High,Tier 3,Supermarket Type1,343.55
FDP10,,Low Fat,0.13,Snack Foods,107.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.76
FDH17,16.2,Regular,0.02,Frozen Foods,96.97,OUT045,2002,,Tier 2,Supermarket Type1,1076.60
FDU28,19.2,Regular,0.09,Frozen Foods,187.82,OUT017,2007,,Tier 2,Supermarket Type1,4710.54
FDY07,11.8,Low Fat,0.00,Fruits and Vegetables,45.54,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.03
FDA03,18.5,Regular,0.05,Dairy,144.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.15
FDX32,15.1,Regular,0.10,Fruits and Vegetables,145.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.26
FDS46,17.6,Regular,0.05,Snack Foods,119.68,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.21
FDF32,16.35,Low Fat,0.07,Fruits and Vegetables,196.44,OUT013,1987,High,Tier 3,Supermarket Type1,1977.43
FDP49,9,Regular,0.07,Breakfast,56.36,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.32
NCB42,11.8,Low Fat,0.01,Health and Hygiene,115.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.89
FDP49,9,Regular,0.07,Breakfast,54.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.40
DRI11,,Low Fat,0.03,Hard Drinks,113.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.67
FDU02,13.35,Low Fat,0.10,Dairy,230.54,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.42
FDN22,18.85,Regular,0.14,Snack Foods,250.87,OUT013,1987,High,Tier 3,Supermarket Type1,3775.09
FDW12,,Regular,0.04,Baking Goods,144.54,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.04
NCB30,14.6,Low Fat,0.03,Household,196.51,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.27
FDC37,,Low Fat,0.06,Baking Goods,107.69,OUT019,1985,Small,Tier 1,Grocery Store,214.39
FDR28,13.85,Regular,0.03,Frozen Foods,165.02,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.03
NCD06,13,Low Fat,0.10,Household,45.91,OUT017,2007,,Tier 2,Supermarket Type1,838.91
FDV10,7.645,Regular,0.07,Snack Foods,42.31,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
DRJ59,11.65,low fat,0.02,Hard Drinks,39.12,OUT013,1987,High,Tier 3,Supermarket Type1,308.93
FDE51,5.925,Regular,0.16,Dairy,45.51,OUT010,1998,,Tier 3,Grocery Store,178.43
FDC14,,Regular,0.07,Canned,43.65,OUT019,1985,Small,Tier 1,Grocery Store,125.84
FDV38,19.25,Low Fat,0.17,Dairy,55.80,OUT010,1998,,Tier 3,Grocery Store,163.79
NCS17,18.6,Low Fat,0.08,Health and Hygiene,96.44,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.76
FDP33,18.7,Low Fat,0.00,Snack Foods,256.67,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.01
FDO23,17.85,Low Fat,0.00,Breads,93.14,OUT045,2002,,Tier 2,Supermarket Type1,2174.50
DRH01,17.5,Low Fat,0.10,Soft Drinks,174.87,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.29
NCX29,10,Low Fat,0.09,Health and Hygiene,146.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.07
FDV20,,Regular,0.06,Fruits and Vegetables,128.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.69
DRZ11,8.85,Regular,0.11,Soft Drinks,122.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.90
FDX10,,Regular,0.12,Snack Foods,36.99,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.16
FDB34,,Low Fat,0.03,Snack Foods,87.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.50
FDU02,13.35,Low Fat,0.10,Dairy,230.64,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.53
FDK43,9.8,Low Fat,0.03,Meat,126.00,OUT013,1987,High,Tier 3,Supermarket Type1,2150.53
