ImageId,Label
1,6
2,3
3,7
4,1
5,2
6,1
7,3
8,2
9,3
10,2
11,2
12,1
13,5
14,3
15,5
16,4
17,4
18,7
19,5
20,2
21,5
22,7
23,7
24,0
25,1
26,5
27,6
28,9
29,1
30,1
31,1
32,0
33,5
34,2
35,8
36,4
37,5
38,0
39,7
40,8
41,1
42,5
43,5
44,5
45,2
46,9
47,7
48,2
49,7
50,7
51,8
52,2
53,7
54,6
55,5
56,4
57,7
58,0
59,7
60,3
61,1
62,7
63,1
64,2
65,3
66,3
67,7
68,1
69,2
70,7
71,8
72,5
73,0
74,2
75,2
76,3
77,9
78,5
79,4
80,4
81,0
82,5
83,7
84,2
85,5
86,4
87,5
88,6
89,8
90,1
91,4
92,3
93,8
94,8
95,0
96,5
97,2
98,0
99,5
100,5
101,2
102,2
103,7
104,3
105,1
106,7
107,3
108,2
109,3
110,9
111,8
112,3
113,8
114,7
115,7
116,0
117,7
118,7
119,2
120,7
121,2
122,1
123,4
124,7
125,8
126,2
127,2
128,1
129,0
130,1
131,4
132,0
133,7
134,3
135,3
136,3
137,2
138,7
139,2
140,4
141,3
142,2
143,5
144,0
145,0
146,0
147,9
148,9
149,4
150,7
151,0
152,2
153,0
154,8
155,0
156,7
157,1
158,2
159,9
160,0
161,2
162,0
163,0
164,2
165,7
166,7
167,1
168,8
169,2
170,3
171,6
172,1
173,5
174,8
175,7
176,2
177,1
178,5
179,7
180,2
181,5
182,7
183,2
184,8
185,0
186,5
187,7
188,7
189,7
190,3
191,8
192,0
193,5
194,9
195,8
196,3
197,5
198,1
199,8
200,5
201,7
202,5
203,2
204,5
205,5
206,3
207,0
208,5
209,8
210,8
211,3
212,5
213,2
214,8
215,1
216,2
217,7
218,8
219,2
220,5
221,6
222,6
223,7
224,6
225,2
226,2
227,7
228,4
229,7
230,3
231,3
232,5
233,1
234,7
235,1
236,6
237,4
238,2
239,2
240,8
241,2
242,8
243,4
244,2
245,0
246,2
247,5
248,5
249,7
250,5
251,5
252,5
253,7
254,7
255,0
256,1
257,0
258,7
259,5
260,2
261,3
262,4
263,2
264,0
265,5
266,0
267,8
268,0
269,4
270,7
271,8
272,0
273,8
274,2
275,7
276,5
277,7
278,2
279,0
280,8
281,3
282,1
283,4
284,3
285,2
286,7
287,5
288,7
289,9
290,1
291,0
292,5
293,1
294,1
295,1
296,8
297,2
298,0
299,4
300,2
301,8
302,1
303,0
304,7
305,7
306,6
307,1
308,7
309,1
310,2
311,0
312,0
313,7
314,2
315,6
316,2
317,0
318,7
319,7
320,7
321,5
322,7
323,7
324,5
325,2
326,1
327,2
328,7
329,2
330,0
331,8
332,2
333,7
334,2
335,0
336,0
337,3
338,2
339,8
340,2
341,8
342,6
343,7
344,0
345,8
346,3
347,2
348,0
349,4
350,0
351,8
352,1
353,1
354,7
355,1
356,2
357,9
358,5
359,6
360,7
361,2
362,8
363,4
364,2
365,1
366,6
367,2
368,2
369,7
370,3
371,7
372,2
373,5
374,1
375,1
376,8
377,5
378,0
379,2
380,1
381,4
382,0
383,0
384,5
385,8
386,8
387,7
388,7
389,6
390,1
391,7
392,1
393,5
394,9
395,8
396,7
397,7
398,7
399,1
400,6
401,5
402,1
403,8
404,7
405,7
406,7
407,9
408,2
409,2
410,2
411,2
412,0
413,5
414,7
415,7
416,5
417,7
418,7
419,2
420,0
421,9
422,8
423,8
424,5
425,2
426,7
427,5
428,1
429,5
430,1
431,5
432,0
433,2
434,4
435,3
436,7
437,2
438,9
439,0
440,3
441,7
442,5
443,5
444,5
445,7
446,5
447,7
448,0
449,2
450,1
451,5
452,5
453,8
454,1
455,2
456,9
457,7
458,2
459,7
460,2
461,7
462,1
463,2
464,6
465,0
466,7
467,1
468,5
469,5
470,7
471,7
472,5
473,5
474,0
475,2
476,0
477,7
478,2
479,7
480,8
481,5
482,2
483,7
484,6
485,1
486,5
487,5
488,7
489,2
490,1
491,5
492,1
493,4
494,0
495,4
496,1
497,2
498,2
499,8
500,2
501,8
502,0
503,0
504,3
505,0
506,2
507,2
508,2
509,3
510,4
511,1
512,7
513,2
514,9
515,2
516,6
517,0
518,5
519,0
520,2
521,8
522,5
523,6
524,1
525,1
526,7
527,3
528,7
529,7
530,5
531,3
532,0
533,6
534,0
535,7
536,0
537,8
538,2
539,1
540,7
541,3
542,4
543,2
544,4
545,3
546,2
547,3
548,1
549,4
550,7
551,7
552,2
553,3
554,2
555,2
556,3
557,9
558,0
559,8
560,6
561,0
562,2
563,0
564,7
565,8
566,2
567,0
568,7
569,7
570,5
571,3
572,0
573,2
574,8
575,3
576,5
577,7
578,6
579,0
580,6
581,0
582,7
583,5
584,8
585,1
586,7
587,5
588,8
589,2
590,6
591,2
592,1
593,0
594,0
595,8
596,8
597,8
598,8
599,3
600,2
601,7
602,7
603,1
604,7
605,7
606,4
607,2
608,0
609,8
610,7
611,1
612,0
613,2
614,2
615,6
616,0
617,9
618,0
619,2
620,9
621,2
622,2
623,5
624,5
625,2
626,2
627,7
628,6
629,8
630,7
631,8
632,7
633,0
634,8
635,7
636,5
637,1
638,9
639,2
640,2
641,3
642,5
643,5
644,8
645,1
646,1
647,0
648,5
649,7
650,0
651,1
652,5
653,2
654,3
655,7
656,4
657,0
658,2
659,6
660,9
661,8
662,6
663,0
664,3
665,5
666,0
667,7
668,2
669,2
670,8
671,2
672,5
673,0
674,4
675,2
676,1
677,5
678,7
679,8
680,3
681,8
682,1
683,2
684,7
685,7
686,2
687,5
688,8
689,1
690,5
691,2
692,8
693,3
694,7
695,5
696,5
697,2
698,5
699,0
700,0
701,5
702,3
703,9
704,3
705,4
706,2
707,0
708,5
709,8
710,0
711,2
712,6
713,7
714,2
715,0
716,8
717,6
718,2
719,1
720,9
721,5
722,6
723,7
724,3
725,7
726,8
727,8
728,5
729,1
730,0
731,1
732,7
733,6
734,4
735,5
736,1
737,7
738,2
739,7
740,2
741,5
742,0
743,2
744,5
745,6
746,1
747,0
748,1
749,2
750,8
751,5
752,5
753,5
754,7
755,7
756,7
757,1
758,7
759,7
760,4
761,1
762,2
763,0
764,3
765,5
766,3
767,3
768,2
769,7
770,0
771,4
772,2
773,3
774,7
775,0
776,6
777,5
778,8
779,2
780,7
781,7
782,8
783,0
784,0
785,2
786,0
787,6
788,1
789,4
790,4
791,7
792,0
793,7
794,3
795,5
796,2
797,7
798,8
799,5
800,1
801,7
802,7
803,6
804,4
805,7
806,1
807,5
808,8
809,0
810,7
811,0
812,5
813,9
814,7
815,5
816,5
817,0
818,5
819,1
820,0
821,2
822,2
823,0
824,3
825,7
826,5
827,2
828,5
829,0
830,4
831,7
832,0
833,2
834,5
835,2
836,1
837,8
838,7
839,2
840,7
841,0
842,5
843,3
844,2
845,0
846,8
847,9
848,4
849,7
850,0
851,2
852,5
853,1
854,5
855,4
856,2
857,7
858,2
859,1
860,2
861,3
862,5
863,7
864,0
865,4
866,6
867,8
868,1
869,2
870,6
871,5
872,0
873,5
874,6
875,2
876,2
877,7
878,7
879,3
880,7
881,5
882,9
883,7
884,7
885,2
886,1
887,7
888,0
889,5
890,5
891,7
892,1
893,4
894,3
895,0
896,6
897,5
898,5
899,7
900,7
901,2
902,2
903,2
904,1
905,5
906,7
907,7
908,6
909,4
910,1
911,4
912,2
913,5
914,0
915,7
916,8
917,0
918,8
919,7
920,4
921,1
922,2
923,0
924,5
925,5
926,1
927,1
928,8
929,8
930,2
931,6
932,4
933,7
934,5
935,7
936,3
937,1
938,9
939,5
940,0
941,8
942,6
943,8
944,7
945,8
946,5
947,6
948,6
949,5
950,2
951,8
952,5
953,7
954,8
955,2
956,4
957,2
958,2
959,8
960,6
961,1
962,1
963,5
964,0
965,9
966,2
967,7
968,7
969,1
970,4
971,6
972,7
973,9
974,8
975,1
976,3
977,2
978,3
979,1
980,0
981,2
982,7
983,1
984,5
985,1
986,9
987,3
988,2
989,7
990,4
991,7
992,1
993,2
994,8
995,7
996,2
997,8
998,6
999,2
1000,5
1001,3
1002,5
1003,3
1004,1
1005,7
1006,2
1007,6
1008,3
1009,7
1010,5
1011,4
1012,8
1013,4
1014,1
1015,2
1016,1
1017,6
1018,2
1019,1
1020,6
1021,7
1022,1
1023,1
1024,8
1025,4
1026,8
1027,7
1028,0
1029,0
1030,7
1031,7
1032,7
